code|description
AGFA|AGFA
BAYER|Bayer
BRACCO|Bracco
CANON|Canon Medical
CARESTREAM|Carestream
ESAOTE|Esaote
FRESENIUS|Fresenius Kabi
FUJI|Fuji
GE|General Electric Healthcare
GUERBET|Guerbet
HOLOGIC|Hologic
IMS|IMS Giotto
METALTRONICA|Metaltronica
PHILLIPS|Phillips Healthcare
PLANMED|Planmed
SIEMENS|Siemens Helthineers
UNITED|Inited Imaging
UNK|unknown
