code|description
0|Nx
1|N0
2|N0(i+)
3|N0(mol+)
4|N1
5|N1mi
6|N1a
7|N1b
8|N1c
9|N2
10|N2a
11|N2b
12|N3
13|N3a
14|N3b
15|N3c
