code|description
COM1001311|White/Caucasian
COM1001046|Black/African
COM1001076|Asian/Indian
COM1001071|Asian/Chinese
COM1001070|North African/Arab
COM1001206|Latinoamerican
COM1001201|Mixed
COM1001053|Other
COM1001289|Unknown
